###Movement values in mm###
X	Y	A		sX	sY	sA
1215	405.354	0		6.11154	14.1963	0.000707479
1215	406.442	0		6.13421	14.386	0.000710617
1215	407.53	0		6.15687	14.5774	0.000713754
1215	408.618	0		6.17954	14.7705	0.000716892
1215	409.706	0		6.20221	14.9653	0.000720029
1215	410.794	0		6.22488	15.1618	0.000723167
1215	411.882	0		6.24755	15.36	0.000726305
1215	412.971	0		6.27022	15.5599	0.000729442
1215	414.059	0		6.29289	15.7616	0.00073258
1215	415.147	0		6.31556	15.965	0.000735717
1215	416.235	0		6.33823	16.1701	0.000738855
1215	417.323	0		6.36089	16.377	0.000741992
1215	418.411	0		6.38356	16.5856	0.00074513
1215	419.499	0		6.40623	16.796	0.000748267
1215	420.587	0		6.4289	17.0082	0.000751405
1215	421.675	0		6.45157	17.2221	0.000754543
1215	422.763	0		6.47424	17.4378	0.00075768
1215	423.852	0		6.49691	17.6554	0.000760818
1215	424.94	0		6.51958	17.8747	0.000763955
1215	426.028	0		6.54224	18.0958	0.000767093
1215	427.116	0		6.56491	18.3188	0.00077023
1215	428.204	0		6.58758	18.5436	0.000773368
1215	429.292	0		6.61025	18.7702	0.000776505
1215	430.38	0		6.63292	18.9986	0.000779643
1215	431.468	0		6.65559	19.2289	0.00078278
1215	432.556	0		6.67826	19.4611	0.000785918
1215	433.644	0		6.70093	19.6951	0.000789056
1215	434.733	0		6.7236	19.931	0.000792193
1215	435.821	0		6.74626	20.1687	0.000795331
1215	436.909	0		6.76893	20.4084	0.000798468
1215	437.997	0		6.7916	20.6499	0.000801606
1215	439.085	0		6.81427	20.8933	0.000804743
1215	440.173	0		6.83694	21.1387	0.000807881
1215	441.261	0		6.85961	21.3859	0.000811018
1215	442.349	0		6.88228	21.6351	0.000814156
1215	443.437	0		6.90495	21.8862	0.000817294
1215	444.526	0		6.92761	22.1392	0.000820431
1215	445.614	0		6.95028	22.3942	0.000823569
1215	446.702	0		6.97295	22.6511	0.000826706
1215	447.79	0		6.99562	22.91	0.000829844
1215	448.878	0		7.01829	23.1708	0.000832981
1215	449.966	0		7.04096	23.4336	0.000836119
1215	451.054	0		7.06363	23.6984	0.000839256
1215	452.142	0		7.0863	23.9652	0.000842394
1215	453.23	0		7.10897	24.234	0.000845532
1215	454.318	0		7.13163	24.5048	0.000848669
1215	455.407	0		7.1543	24.7776	0.000851807
1215	456.495	0		7.17697	25.0524	0.000854944
1215	457.583	0		7.19964	25.3292	0.000858082
1215	458.671	0		7.22231	25.6081	0.000861219
1215	459.759	0		7.24498	25.889	0.000864357
1215	460.847	0		7.26765	26.1719	0.000867494
1215	461.935	0		7.29032	26.4569	0.000870632
1215	463.023	0		7.31299	26.744	0.00087377
1215	464.111	0		7.33565	27.0331	0.000876907
1215	465.199	0		7.35832	27.3243	0.000880045
1215	466.288	0		7.38099	27.6176	0.000883182
1215	467.376	0		7.40366	27.913	0.00088632
1215	468.464	0		7.42633	28.2105	0.000889457
1215	469.552	0		7.449	28.5101	0.000892595
1215	470.64	0		7.47167	28.8118	0.000895732
1215	471.728	0		7.49434	29.1156	0.00089887
1215	472.816	0		7.517	29.4216	0.000902008
1215	473.904	0		7.53967	29.7297	0.000905145
1215	474.992	0		7.56234	30.0399	0.000908283
1215	476.081	0		7.58501	30.3523	0.00091142
1215	477.169	0		7.60768	30.6668	0.000914558
1215	478.257	0		7.63035	30.9836	0.000917695
1215	479.345	0		7.65302	31.3024	0.000920833
1215	480.433	0		7.67569	31.6235	0.00092397
1215	481.521	0		7.69836	31.9468	0.000927108
1215	482.609	0		7.72102	32.2722	0.000930246
